Sprite, Number, Name, Type(s), HP, Atk, Def, SpA, SpD, Spe, Ability/Abilities, Color
<img src = "http://www.serebii.net/blackwhite/pokemon/001.png">,#001,Bulbasaur,Grass/Poison,45,49,49,65,65,45,Overgrow : Powers up Grass-type moves in a pinch./Chlorophyll : Boosts the Pokemon's Speed in sunshine.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/002.png">,#002,Ivysaur,Grass/Poison,60,62,63,80,80,60,Overgrow : Powers up Grass-type moves in a pinch./Chlorophyll : Boosts the Pokemon's Speed in sunshine.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/003.png">,#003,Venusaur,Grass/Poison,80,82,83,100,100,80,Overgrow : Powers up Grass-type moves in a pinch./Chlorophyll : Boosts the Pokemon's Speed in sunshine.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/004.png">,#004,Charmander,Fire,39,52,43,60,50,65,Blaze : Powers up Fire-type moves in a pinch./Solar-power : In sunshine Sp. Atk is boosted but HP decreases.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/005.png">,#005,Charmeleon,Fire,58,64,58,80,65,80,Blaze : Powers up Fire-type moves in a pinch./Solar-power : In sunshine Sp. Atk is boosted but HP decreases.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/006.png">,#006,Charizard,Fire/Flying,78,84,78,109,85,100,Blaze : Powers up Fire-type moves in a pinch./Solar-power : In sunshine Sp. Atk is boosted but HP decreases.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/007.png">,#007,Squirtle,Water,44,48,65,50,64,43,Torrent : Powers up Water-type moves in a pinch./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/008.png">,#008,Wartortle,Water,59,63,80,65,80,58,Torrent : Powers up Water-type moves in a pinch./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/009.png">,#009,Blastoise,Water,79,83,100,85,105,78,Torrent : Powers up Water-type moves in a pinch./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/010.png">,#010,Caterpie,Bug,45,30,35,20,20,45,Shield-dust : Blocks the added effects of attacks taken./Run-away : Enables a sure getaway from wild Pokemon.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/011.png">,#011,Metapod,Bug,50,20,55,25,25,30,Shed-skin : The Pokemon may heal its own status problems./Shed-skin : The Pokemon may heal its own status problems.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/012.png">,#012,Butterfree,Bug/Flying,60,45,50,80,80,70,Compoundeyes : The Pokemon's accuracy is boosted./Tinted-lens : Powers up not very effective moves.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/013.png">,#013,Weedle,Bug/Poison,40,35,30,20,20,50,Shield-dust : Blocks the added effects of attacks taken./Run-away : Enables a sure getaway from wild Pokemon.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/014.png">,#014,Kakuna,Bug/Poison,45,25,50,25,25,35,Shed-skin : The Pokemon may heal its own status problems./Shed-skin : The Pokemon may heal its own status problems.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/015.png">,#015,Beedrill,Bug/Poison,65,80,40,45,80,75,Swarm : Powers up Bug-type moves in a pinch./Sniper : Powers up moves if they become critical hits.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/016.png">,#016,Pidgey,Normal/Flying,40,45,40,35,35,56,Keen-eye : Prevents other Pokemon from lowering accuracy./Tangled-feet : Raises evasion if the Pokemon is confused./Big-pecks : Protects the Pokemon from Defense-lowering attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/017.png">,#017,Pidgeotto,Normal/Flying,63,60,55,50,50,71,Keen-eye : Prevents other Pokemon from lowering accuracy./Tangled-feet : Raises evasion if the Pokemon is confused./Big-pecks : Protects the Pokemon from Defense-lowering attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/018.png">,#018,Pidgeot,Normal/Flying,83,80,75,70,70,91,Keen-eye : Prevents other Pokemon from lowering accuracy./Tangled-feet : Raises evasion if the Pokemon is confused./Big-pecks : Protects the Pokemon from Defense-lowering attacks.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/019.png">,#019,Rattata,Normal,30,56,35,25,35,72,Run-away : Enables a sure getaway from wild Pokemon./Guts : Boosts Attack if there is a status problem./Hustle : Boosts the Attack stat.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/020.png">,#020,Raticate,Normal,55,81,60,50,70,97,Run-away : Enables a sure getaway from wild Pokemon./Guts : Boosts Attack if there is a status problem./Hustle : Boosts the Attack stat.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/021.png">,#021,Spearow,Normal/Flying,40,60,30,31,31,70,Keen-eye : Prevents other Pokemon from lowering accuracy./Sniper : Powers up moves if they become critical hits.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/022.png">,#022,Fearow,Normal/Flying,65,90,65,61,61,100,Keen-eye : Prevents other Pokemon from lowering accuracy./Sniper : Powers up moves if they become critical hits.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/023.png">,#023,Ekans,Poison,35,60,44,40,54,55,Intimidate : Lowers the foe's Attack stat./Shed-skin : The Pokemon may heal its own status problems./Unnerve : Makes the foe nervous and unable to eat Berries.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/024.png">,#024,Arbok,Poison,60,85,69,65,79,80,Intimidate : Lowers the foe's Attack stat./Shed-skin : The Pokemon may heal its own status problems./Unnerve : Makes the foe nervous and unable to eat Berries.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/025.png">,#025,Pikachu,Electric,35,55,30,50,40,90,Static : Contact with the Pokemon may cause paralysis./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/026.png">,#026,Raichu,Electric,60,90,55,90,80,100,Static : Contact with the Pokemon may cause paralysis./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/027.png">,#027,Sandshrew,Ground,50,75,85,20,30,40,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Sand-rush : Boosts the Pokemon's Speed in a sandstorm.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/028.png">,#028,Sandslash,Ground,75,100,110,45,55,65,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Sand-rush : Boosts the Pokemon's Speed in a sandstorm.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/029.png">,#029,Nidoran-f,Poison,55,47,52,40,40,41,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Hustle : Boosts the Attack stat.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/030.png">,#030,Nidorina,Poison,70,62,67,55,55,56,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Hustle : Boosts the Attack stat.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/031.png">,#031,Nidoqueen,Poison/Ground,90,82,87,75,85,76,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Sheer-force : Removes added effects to increase move damage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/032.png">,#032,Nidoran-m,Poison,46,57,40,40,40,50,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Hustle : Boosts the Attack stat.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/033.png">,#033,Nidorino,Poison,61,72,57,55,55,65,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Hustle : Boosts the Attack stat.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/034.png">,#034,Nidoking,Poison/Ground,81,92,77,85,75,85,Poison-point : Contact with the Pokemon may poison the attacker./Rivalry : Deals more damage to a Pokemon of same gender./Sheer-force : Removes added effects to increase move damage.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/035.png">,#035,Clefairy,Normal,70,45,48,60,65,35,Cute-charm : Contact with the Pokemon may cause infatuation./Magic-guard : The Pokemon only takes damage from attacks./Friend-guard : Reduces damage done to allies.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/036.png">,#036,Clefable,Normal,95,70,73,85,90,60,Cute-charm : Contact with the Pokemon may cause infatuation./Magic-guard : The Pokemon only takes damage from attacks./Unaware : Ignores any stat changes in the Pokemon.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/037.png">,#037,Vulpix,Fire,38,41,40,50,65,65,Flash-fire : It powers up Fire-type moves if it's hit by one./Drought : Turns the sunlight harsh if it is in battle.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/038.png">,#038,Ninetales,Fire,73,76,75,81,100,100,Flash-fire : It powers up Fire-type moves if it's hit by one./Drought : Turns the sunlight harsh if it is in battle.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/039.png">,#039,Jigglypuff,Normal,115,45,20,45,25,20,Cute-charm : Contact with the Pokemon may cause infatuation./Friend-guard : Reduces damage done to allies.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/040.png">,#040,Wigglytuff,Normal,140,70,45,75,50,45,Cute-charm : Contact with the Pokemon may cause infatuation./Frisk : The Pokemon can check a foe's held item.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/041.png">,#041,Zubat,Poison/Flying,40,45,35,30,40,55,Inner-focus : The Pokemon is protected from flinching./Infiltrator : Passes through the foe's barrier and strikes.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/042.png">,#042,Golbat,Poison/Flying,75,80,70,65,75,90,Inner-focus : The Pokemon is protected from flinching./Infiltrator : Passes through the foe's barrier and strikes.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/043.png">,#043,Oddish,Grass/Poison,45,50,55,75,65,30,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Run-away : Enables a sure getaway from wild Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/044.png">,#044,Gloom,Grass/Poison,60,65,70,85,75,40,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Stench : The stench may cause the target to flinch.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/045.png">,#045,Vileplume,Grass/Poison,75,80,85,100,90,50,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Effect-spore : Contact may poison or cause paralysis or sleep.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/046.png">,#046,Paras,Bug/Grass,35,70,55,45,55,25,Effect-spore : Contact may poison or cause paralysis or sleep./Dry-skin : Reduces HP if it is hot. Water restores HP./Damp : Prevents the use of self-destructing moves.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/047.png">,#047,Parasect,Bug/Grass,60,95,80,60,80,30,Effect-spore : Contact may poison or cause paralysis or sleep./Dry-skin : Reduces HP if it is hot. Water restores HP./Damp : Prevents the use of self-destructing moves.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/048.png">,#048,Venonat,Bug/Poison,60,55,50,40,55,45,Compoundeyes : The Pokemon's accuracy is boosted./Tinted-lens : Powers up not very effective moves./Run-away : Enables a sure getaway from wild Pokemon.,Purple
